"x"
4,33658868290339
0,925276593798416
1,9097334809191
1,93774765924564
3,02861175157623
3,59266013751099
1,24129458037957
0,97307653171234
3,19688450507342
1,76636127751692
3,98622448697068
5,9403484803216
4,57227369590253
0,480896807794729
3,34847082979487
1,51587498580738
2,31233275855953
1,24443538086553
3,23221983986557
1,58505696613591
4,57689900114599
1,51069070438268
1,31159685382356
2,32713285741802
0,65080204797707
8,90583574188268
3,95397479400509
1,93399107317349
-0,515721465316145
1,09890238918326
4,02898835159412
5,15578120908885
3,01104088626875
1,62145728218858
4,02141976685938
4,13931823376226
1,90253799954614
1,82505394557946
5,64907826459042
2,54383893993193
3,25350968196046
2,17753198174559
3,55884477583993
5,34135216448842
0,777686553567676
5,13703731690439
4,34808251063571
3,53515709073162
2,64777538147017
7,74935387958685
1,84384155944436
2,42285690184141
3,61305959785154
2,01219614690778
0,718863878583559
1,30464066012126
-0,406029411942259
1,97060707428549
4,24994508621602
7,05883140606946
2,54103054893214
5,06735827874678
1,50226352579311
6,61769095483057
6,64368404084263
3,97187107244642
2,65253066018279
3,73332962819458
4,8315077991699
-0,205701877920012
6,37924051677253
3,98053541748878
0,418069759517102
6,3393981433156
1,71751117879813
2,23963706153686
-0,605164370487674
5,02367946221555
4,14148450356796
4,65840758551593
4,37626170010818
3,33059826446366
8,28941493621656
0,239973077951187
-1,68782037881188
2,8015518390689
2,97917633546355
0,132211637199335
0,33201540635091
5,8534985882867
5,40150042532508
0,0650997034949032
1,56979097448693
-1,54718394090643
0,370358025599382
5,09673519747974
2,92098746204038
0,446011970034514
2,30254944957059
5,04430435960393
